"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
39,"Skagit","Boat",0.018,0.018,0.01,0.029,"2019-03-11",0
39,"Sauk","Boat",0.034,0.033,0.015,0.059,"2019-03-11",0
40,"Skagit","Bank",0.02,0.019,0.009,0.037,"2019-03-12",0
40,"Sauk","Bank",0.014,0.012,0.006,0.029,"2019-03-12",0
40,"Skagit","Boat",0.018,0.018,0.008,0.029,"2019-03-12",0
40,"Sauk","Boat",0.034,0.034,0.016,0.06,"2019-03-12",0
41,"Skagit","Bank",0.019,0.018,0.009,0.034,"2019-03-13",0
41,"Sauk","Bank",0.013,0.012,0.006,0.025,"2019-03-13",0
41,"Skagit","Boat",0.018,0.018,0.008,0.031,"2019-03-13",0
41,"Sauk","Boat",0.035,0.034,0.016,0.059,"2019-03-13",0
42,"Skagit","Bank",0.019,0.018,0.008,0.036,"2019-03-14",0
42,"Sauk","Bank",0.012,0.012,0.006,0.023,"2019-03-14",0
42,"Skagit","Boat",0.018,0.018,0.008,0.031,"2019-03-14",0
42,"Sauk","Boat",0.036,0.034,0.016,0.063,"2019-03-14",0
43,"Skagit","Bank",0.018,0.017,0.007,0.037,"2019-03-15",0
43,"Sauk","Bank",0.012,0.012,0.006,0.021,"2019-03-15",0
43,"Skagit","Boat",0.018,0.017,0.008,0.028,"2019-03-15",0
43,"Sauk","Boat",0.036,0.035,0.018,0.06,"2019-03-15",0
44,"Skagit","Bank",0.018,0.017,0.008,0.035,"2019-03-16",1
44,"Sauk","Bank",0.012,0.012,0.006,0.022,"2019-03-16",1
44,"Skagit","Boat",0.018,0.018,0.009,0.029,"2019-03-16",1
44,"Sauk","Boat",0.037,0.036,0.02,0.065,"2019-03-16",1
45,"Skagit","Bank",0.017,0.017,0.007,0.034,"2019-03-17",1
45,"Sauk","Bank",0.012,0.012,0.006,0.021,"2019-03-17",1
45,"Skagit","Boat",0.019,0.019,0.009,0.03,"2019-03-17",1
45,"Sauk","Boat",0.042,0.039,0.024,0.08,"2019-03-17",1
46,"Skagit","Bank",0.017,0.016,0.007,0.03,"2019-03-18",0
46,"Sauk","Bank",0.012,0.011,0.006,0.02,"2019-03-18",0
46,"Skagit","Boat",0.02,0.02,0.011,0.03,"2019-03-18",0
46,"Sauk","Boat",0.04,0.038,0.023,0.07,"2019-03-18",0
47,"Skagit","Bank",0.018,0.017,0.007,0.032,"2019-03-19",0
47,"Sauk","Bank",0.012,0.012,0.006,0.02,"2019-03-19",0
47,"Skagit","Boat",0.021,0.021,0.011,0.034,"2019-03-19",0
47,"Sauk","Boat",0.039,0.037,0.023,0.069,"2019-03-19",0
48,"Skagit","Bank",0.017,0.017,0.007,0.031,"2019-03-20",0
48,"Sauk","Bank",0.012,0.012,0.006,0.02,"2019-03-20",0
48,"Skagit","Boat",0.022,0.022,0.011,0.035,"2019-03-20",0
48,"Sauk","Boat",0.037,0.036,0.021,0.062,"2019-03-20",0
49,"Skagit","Bank",0.017,0.017,0.008,0.03,"2019-03-21",0
49,"Sauk","Bank",0.012,0.012,0.006,0.021,"2019-03-21",0
49,"Skagit","Boat",0.023,0.022,0.012,0.037,"2019-03-21",0
49,"Sauk","Boat",0.036,0.036,0.021,0.057,"2019-03-21",0
50,"Skagit","Bank",0.018,0.017,0.009,0.032,"2019-03-22",0
50,"Sauk","Bank",0.012,0.012,0.006,0.02,"2019-03-22",0
50,"Skagit","Boat",0.024,0.024,0.015,0.036,"2019-03-22",0
50,"Sauk","Boat",0.035,0.035,0.021,0.052,"2019-03-22",0
51,"Skagit","Bank",0.018,0.017,0.008,0.032,"2019-03-23",1
51,"Sauk","Bank",0.013,0.012,0.007,0.021,"2019-03-23",1
51,"Skagit","Boat",0.026,0.025,0.016,0.04,"2019-03-23",1
51,"Sauk","Boat",0.034,0.034,0.021,0.048,"2019-03-23",1
52,"Skagit","Bank",0.018,0.017,0.009,0.029,"2019-03-24",1
52,"Sauk","Bank",0.013,0.013,0.007,0.023,"2019-03-24",1
52,"Skagit","Boat",0.026,0.025,0.016,0.038,"2019-03-24",1
52,"Sauk","Boat",0.033,0.033,0.021,0.048,"2019-03-24",1
53,"Skagit","Bank",0.018,0.017,0.009,0.033,"2019-03-25",0
53,"Sauk","Bank",0.013,0.012,0.006,0.024,"2019-03-25",0
53,"Skagit","Boat",0.026,0.026,0.014,0.04,"2019-03-25",0
53,"Sauk","Boat",0.034,0.033,0.019,0.053,"2019-03-25",0
54,"Skagit","Bank",0.018,0.017,0.007,0.032,"2019-03-26",0
54,"Sauk","Bank",0.013,0.013,0.006,0.024,"2019-03-26",0
54,"Skagit","Boat",0.026,0.026,0.015,0.041,"2019-03-26",0
54,"Sauk","Boat",0.033,0.033,0.017,0.052,"2019-03-26",0
55,"Skagit","Bank",0.017,0.017,0.008,0.031,"2019-03-27",0
55,"Sauk","Bank",0.013,0.013,0.006,0.022,"2019-03-27",0
55,"Skagit","Boat",0.026,0.026,0.015,0.042,"2019-03-27",0
55,"Sauk","Boat",0.033,0.032,0.016,0.049,"2019-03-27",0
56,"Skagit","Bank",0.017,0.017,0.007,0.031,"2019-03-28",0
56,"Sauk","Bank",0.013,0.013,0.007,0.022,"2019-03-28",0
56,"Skagit","Boat",0.026,0.026,0.014,0.037,"2019-03-28",0
56,"Sauk","Boat",0.033,0.033,0.016,0.049,"2019-03-28",0
57,"Skagit","Bank",0.017,0.016,0.008,0.029,"2019-03-29",0
57,"Sauk","Bank",0.013,0.013,0.007,0.021,"2019-03-29",0
57,"Skagit","Boat",0.026,0.026,0.016,0.038,"2019-03-29",0
57,"Sauk","Boat",0.034,0.034,0.018,0.049,"2019-03-29",0
58,"Skagit","Bank",0.017,0.017,0.007,0.029,"2019-03-30",1
58,"Sauk","Bank",0.013,0.013,0.006,0.021,"2019-03-30",1
58,"Skagit","Boat",0.027,0.027,0.017,0.04,"2019-03-30",1
58,"Sauk","Boat",0.035,0.036,0.022,0.051,"2019-03-30",1
59,"Skagit","Bank",0.018,0.017,0.008,0.029,"2019-03-31",1
59,"Sauk","Bank",0.013,0.013,0.006,0.021,"2019-03-31",1
59,"Skagit","Boat",0.03,0.029,0.021,0.046,"2019-03-31",1
59,"Sauk","Boat",0.038,0.037,0.023,0.057,"2019-03-31",1
60,"Skagit","Bank",0.018,0.018,0.008,0.033,"2019-04-01",0
60,"Sauk","Bank",0.014,0.014,0.007,0.022,"2019-04-01",0
60,"Skagit","Boat",0.032,0.03,0.02,0.052,"2019-04-01",0
60,"Sauk","Boat",0.039,0.038,0.024,0.061,"2019-04-01",0
61,"Skagit","Bank",0.019,0.019,0.009,0.034,"2019-04-02",0
61,"Sauk","Bank",0.014,0.013,0.007,0.022,"2019-04-02",0
61,"Skagit","Boat",0.032,0.031,0.021,0.053,"2019-04-02",0
61,"Sauk","Boat",0.039,0.038,0.025,0.058,"2019-04-02",0
62,"Skagit","Bank",0.02,0.019,0.009,0.038,"2019-04-03",0
62,"Sauk","Bank",0.014,0.014,0.007,0.022,"2019-04-03",0
62,"Skagit","Boat",0.033,0.031,0.02,0.055,"2019-04-03",0
62,"Sauk","Boat",0.04,0.04,0.025,0.065,"2019-04-03",0
63,"Skagit","Bank",0.019,0.019,0.009,0.038,"2019-04-04",0
63,"Sauk","Bank",0.014,0.014,0.007,0.023,"2019-04-04",0
63,"Skagit","Boat",0.033,0.032,0.02,0.058,"2019-04-04",0
63,"Sauk","Boat",0.041,0.04,0.023,0.066,"2019-04-04",0
64,"Skagit","Bank",0.019,0.018,0.009,0.037,"2019-04-05",0
